Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Nutrition_Score,Nutrition_Label,Protein_to_Energy,Sugar_to_Carbs,Fat_to_Energy
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,0.0,113.66,2,Healthy,0.03729189789081807,0.9761646802842724,0.05061043285182452
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,1.17,53.29,2,Healthy,0.023139277818376727,0.9946619216196919,0.031098010316417124
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,0.0,62.64,0,Healthy,0.028173327208265604,0.8699453550961808,0.03628847037151602
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,0.0,62.33,0,Healthy,0.030404217925651948,0.9889349929475885,0.04130052724004745
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,0.0,59.92,0,Healthy,0.02979181622344236,0.9973753279531002,0.04002153625197377
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,0.0,67.42,0,Healthy,0.03239289446129584,0.995780590577246,0.04388714733465888
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,60.3,102.13,1,Healthy,0.04920732962683542,0.9889570550933795,0.05260448836676339
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,2.49,45.65,1,Healthy,0.03617498597767317,0.9999999998463902,0.019068984856447875
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,2.6,47.78,0,Healthy,0.07165605095161062,0.9892473112961035,0.03821656050752566
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,23.05,113.79,-1,Healthy,0.03117692907234342,0.08686131386544302,0.04483975975404685
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,121.63,110.13,2,Healthy,0.030388865575498712,0.06378600822826523,0.055252482864543116
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,17.53,87.84,0,Healthy,0.025450689289366647,0.06363989134405744,0.04241781548227774
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,34.35,199.73,0,Healthy,0.03181871095404983,0.1408934707855363,0.049668231733150964
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,32.88,191.2,1,Healthy,0.032549728752126625,0.10586924219517573,0.05042742068037799
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,42.06,89.56,0,Healthy,0.05180242429007856,0.06304176516694084,0.046393177241495664
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,17.53,94.03,-1,Healthy,0.032700820093906936,0.09880868955505225,0.055382081460194965
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,31.16,172.04,1,Healthy,0.028414298808328454,0.11821366024173341,0.045976168652443715
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,31.26,115.68,2,Healthy,0.031064082950743397,0.10858995137176713,0.06425293217718743
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,23.13,122.44,0,Healthy,0.027479453436053652,0.10569105690519863,0.05712701053770419
Pin wheel sandwich,311.52,14.0,8.77,24.93,1.45,0.93,179.52,67.75,10,Moderate,0.028152285567449434,0.10357142856403061,0.08002696456060598
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,21.05,118.05,0,Healthy,0.024753631310892747,0.18250688704605691,0.042594927840630535
Salami sandwich,255.59,21.54,8.7,15.51,2.0,1.97,33.35,73.54,1,Healthy,0.03403889041028976,0.09285051067349813,0.06068312531765451
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,21.87,79.53,4,Moderate,0.01830017194784942,0.1012931034439098,0.0630475722588101
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,2.09,1.77,95.63,95.71,0,Healthy,0.03448741614499803,0.08069498069186505,0.04731889604228842
Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,18.05,85.18,2,Healthy,0.020429887410356482,0.3116717634986832,0.033367451381644354
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,35.12,172.35,0,Healthy,0.03425380353515851,0.1004283674392942,0.057206929909167155
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,35.12,169.22,1,Healthy,0.030367797666620504,0.12464985993815826,0.057663193516530126
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,1.33,2.89,0.0,64.15,-2,Healthy,0.027895694360049145,0.0528406833510989,0.03292904790762323
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.4,11.98,6.4,2.12,0.0,274.1,0,Healthy,0.04968744991164575,0.26611226610120114,0.04800448789850936
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,26.57,99.99,-3,Healthy,0.07217541972831347,0.11317747076975677,0.03178586365518441
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,27.29,70.79,-4,Healthy,0.06438467807623481,0.09575518262113744,0.032658050995269194
Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,62.87,107.73,0,Healthy,0.03356072299938475,0.1005949161654627,0.057561121346125774
Sesame toast,495.19,11.15,1.9,49.38,1.46,1.32,0.0,43.44,15,Unhealthy,0.0038369110846264323,0.13094170402413077,0.09971929966255434
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,0.0,75.88,2,Healthy,0.03236484001431452,0.577226606473819,0.05001838911303153
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.7,0.0,108.52,1,Healthy,0.03716919417150194,0.6085552864722715,0.04044008325859411
Oatmeal Porridge,72.85,8.77,2.6,3.22,5.2,0.39,0.02,76.83,1,Healthy,0.035689773506716684,0.5929304446302246,0.0442004118044722
Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,0.0,106.47,2,Healthy,0.03059746015485726,0.6668896320624155,0.04363760334063208
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,0.0,103.15,1,Healthy,0.03219494841664715,0.46756583169765153,0.03548559231558622
Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,0.0,103.15,1,Healthy,0.03219494841664715,0.46756583169765153,0.03548559231558622
Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,0.0,103.79,1,Healthy,0.03194493469791789,0.4664964900787175,0.035651253088284054
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,0.0,103.79,1,Healthy,0.03194493469791789,0.4664964900787175,0.035651253088284054
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.0,0.11,121.19,17.75,-1,Healthy,0.09768467474977542,0.0,0.0670341786093267
Fried Egg ,223.67,0.31,11.59,19.62,0.0,0.29,316.88,46.4,3,Moderate,0.05181740957637673,0.0,0.08771851388166622
Poached egg,123.87,0.37,11.98,8.19,0.05,0.3,326.79,48.24,-2,Healthy,0.09671429724633314,0.13513513476990505,0.06611770404402907
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,273.6,64.59,0,Healthy,0.06597422581223329,0.7999999994074074,0.07828428543900569
Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,204.36,164.05,0,Healthy,0.054283755997010366,0.1076523994742119,0.05780214758940918
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,255.94,48.4,11,Unhealthy,0.03546125325782658,0.7968749987548829,0.09448992327706585
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,1.57,0.75,154.38,89.91,2,Healthy,0.04225836568206841,0.6826086953553876,0.08731757653143671
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,35.93,79.49,2,Healthy,0.02793076317846218,0.16203025865485454,0.05320613689981704
Keema pancake,176.27,9.56,9.01,11.25,2.2,0.84,46.43,40.96,0,Healthy,0.051114767118334854,0.2301255229884806,0.06382254495907515
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,19.32,42.89,-1,Healthy,0.030915481706095895,0.1707516339729778,0.05248442243127908
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,23.09,54.06,2,Healthy,0.023392173805558622,0.3786782440724226,0.04326626342400156
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,21.35,157.22,10,Moderate,0.025663651739004107,0.602855051222443,0.0562173689239789
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,0.0,17.16,-1,Healthy,0.09146341462985631,0.55999999776,0.06472795496882139
Vegetable stock,17.6,0.96,0.3,1.38,0.44,0.38,3.46,5.08,0,Healthy,0.01704545454448605,0.45833333285590283,0.07840909090463584
Chicken stock,29.88,0.37,3.69,1.51,0.2,0.1,10.23,3.57,-2,Healthy,0.12349397589948147,0.5405405390796202,0.05053547523257913
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96,0.0,29.05,1,Healthy,0.059822655175973245,0.41739130422684306,0.1526164605950716
Lentil soup,31.17,3.94,9.65,11.68,1.06,2.57,2.19,40.57,-4,Healthy,0.3095925569358488,0.26903553292664073,0.3747192813482605
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,0.54,1.57,17.0,35.48,-2,Healthy,0.23925740508470472,0.45378151222371305,0.25073007926051877
Cream of tomato soup,97.81,3.93,4.61,13.12,1.81,1.38,5.47,39.61,2,Healthy,0.04713219507159665,0.46055979632046823,0.13413761373955485
Cream of green peas soup,127.84,6.75,7.13,14.78,1.61,2.95,6.19,51.01,-2,Healthy,0.05577284105087787,0.23851851848318245,0.11561326658232467
Cream of spinach soup,100.54,3.45,5.21,13.31,1.13,1.74,5.47,70.77,1,Healthy,0.05182017107567316,0.3275362317891199,0.13238512034879266
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.1,2.14,7.05,65.26,-3,Healthy,0.11466890192599047,0.4259634887574111,0.15171835708044062
Cream of mushroom soup,117.28,3.74,6.64,15.5,1.93,1.34,6.74,70.56,1,Healthy,0.05661664392857591,0.5160427806106836,0.13216234652001907
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.27,0.47,6.37,91.5,-1,Healthy,0.5112994350101943,0.16564417167751894,0.44456214687695755
Minestrone soup,42.66,3.71,9.3,11.09,1.01,1.92,3.7,53.55,-4,Healthy,0.21800281293441162,0.2722371966921194,0.25996249413361555
Egg drop soup,26.64,1.1,12.93,13.52,0.6,0.81,31.67,100.14,-1,Healthy,0.4853603603421411,0.5454545449586776,0.5075075074884569
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.37,0.57,5.83,41.07,16,Unhealthy,0.010757572629078983,0.25874125856032076,0.11680535194376163
French onion soup,55.61,4.28,11.41,14.39,1.5,1.01,10.59,106.22,-2,Healthy,0.20517892465014964,0.35046728963774126,0.2587664089146059
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.6,17.91,10.68,-1,Healthy,0.09901618533484556,0.37078651664562556,0.0415741034578999
Talaumein soup,35.63,4.17,10.12,12.78,0.77,1.94,12.4,42.33,-3,Healthy,0.28403031152725144,0.18465227813317692,0.3586865001302642
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,3.34,0.88,7.06,99.79,-1,Healthy,0.06225275869118775,0.7292576417621708,0.041432438058683484
Cold summer garden soup,49.19,2.65,8.57,14.08,0.46,1.86,10.12,43.93,-2,Healthy,0.17422240292388247,0.17358490559487363,0.28623704004297146
Chapati/Roti,202.31,35.65,5.88,3.56,1.0,6.31,6.83,17.22,-5,Healthy,0.029064307251104423,0.028050490882803637,0.01759675745134894
Plain parantha/paratha,298.3,30.69,5.06,16.86,0.86,5.43,0.0,14.81,0,Healthy,0.016962789138394357,0.028022157053502045,0.05652028159551954
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.7,10.22,1.15,4.18,0.0,17.38,-1,Healthy,0.01804525946148047,0.048076923074913167,0.049843932890900104
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.3,9.53,1.31,4.32,0.0,23.75,-1,Healthy,0.01798169136869016,0.06377799415463593,0.0519289450738234
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,1.15,4.68,0.0,22.0,-1,Healthy,0.02094681866669879,0.06104033969952015,0.053181333183280846
Dal parantha/paratha,268.24,30.03,6.78,13.05,1.43,6.46,0.0,23.89,-2,Healthy,0.025275872353022383,0.0476190476174619,0.04865046227241034
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,1.47,4.49,0.0,20.33,0,Healthy,0.01876722516287341,0.06046894281939659,0.054376831882171676
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.8,1.29,5.61,0.0,23.49,-4,Healthy,0.02930844649489169,0.059972105994422494,0.0461385204212964
Keema parantha/paratha,238.09,18.36,9.41,13.91,0.99,3.44,25.66,19.35,-2,Healthy,0.03952286950296307,0.053921568624514075,0.05842328531203149
Paneer parantha/paratha,262.97,24.33,7.98,14.62,3.77,4.0,0.0,127.65,-1,Healthy,0.030345666805984158,0.1549527332447615,0.05559569532625167
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,1.31,4.39,0.0,33.07,-1,Healthy,0.025590096540137698,0.06124357175964266,0.0558455355903005
Poori,737.63,8.22,1.35,77.61,0.23,1.46,1.58,3.98,18,Unhealthy,0.001830185865539864,0.027980535276401392,0.10521535187003618
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,0.24,1.55,1.46,10.02,17,Unhealthy,0.0020752648885610883,0.030927835047560845,0.10502009499436607
Methi poori,710.02,7.98,1.45,74.6,0.26,1.61,1.51,14.61,17,Unhealthy,0.0020421959944761526,0.032581453630002324,0.10506746288822136
Dal stuffed poori,785.16,10.14,2.08,81.69,0.29,1.96,1.66,6.88,17,Unhealthy,0.002649141576235864,0.02859960551986197,0.10404248815514794
Potato stuffed poori (Aloo ki poori),776.74,9.4,1.52,81.35,0.26,1.64,1.65,5.57,18,Unhealthy,0.001956896773692668,0.027659574465142597,0.10473260035519641
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,0.86,5.44,39.77,14.98,0,Healthy,0.017198767647299325,0.027976577747951314,0.055895994853722805
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,0.22,1.25,0.0,2.7,-1,Healthy,0.022186193361018975,0.00855365474305779,0.001535967232685929
Plain pulao,140.21,21.82,2.34,4.62,1.15,1.69,0.0,12.76,0,Healthy,0.016689251836411886,0.052703941335806415,0.03295057413855681
Mixed vegetable pulao,113.05,17.49,2.72,3.33,1.35,2.67,0.0,19.61,-1,Healthy,0.024060150375727025,0.07718696397500362,0.029455992923224626
Mushroom pulao,124.29,19.02,2.52,4.03,1.0,1.88,0.0,13.54,0,Healthy,0.020275162925253234,0.052576235538770964,0.03242416928125815
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.43,1.78,0.0,16.26,0,Healthy,0.019385677613354114,0.08176100628463345,0.031955386385483266
Paneer pulao,581.91,8.76,1.98,59.81,1.11,0.62,0.0,33.09,17,Unhealthy,0.003402588029070814,0.12671232875265842,0.10278221718117445
Peanut pulao ,193.28,21.18,5.32,9.51,1.6,2.9,0.0,18.52,-1,Healthy,0.027524834436943688,0.07554296505781195,0.04920322847656662
Navratan pulao,261.71,36.98,6.2,9.45,2.52,3.82,0.0,59.61,-1,Healthy,0.02369034427410611,0.06814494321070458,0.036108669901661734
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82,2.48,3.15,0.0,18.94,-3,Healthy,0.028138153721800507,0.08995284729452474,0.02779219281538493
Mutton biryani/biriyani,190.76,22.5,7.38,7.72,2.39,2.42,0.4,68.58,-2,Healthy,0.0386873558395959,0.10622222221750124,0.04046970014656915
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,2.14,3.31,0.27,33.52,1,Healthy,0.018097474371352743,0.11530172413171867,0.05446423457960905
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,21.62,4.26,7.88,0.78,2.52,0.0,12.7,0,Healthy,0.024163357912511833,0.036077705826268375,0.04469653998840217
Sweet rice (Meethe chawal),215.41,42.59,2.1,4.57,24.8,1.13,9.55,11.38,6,Moderate,0.009748851028226412,0.5822963136749872,0.02121535676142605
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,3.91,2.13,3.12,101.52,-2,Healthy,0.029375702462300115,0.1187367142387265,0.022070092980371565
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53,11.65,5.12,7.7,50.94,-1,Healthy,0.01997104868105305,0.17901044867579885,0.02286618057038691
Spanish rice,164.24,31.1,4.19,2.23,1.26,2.78,0.0,18.93,-2,Healthy,0.02551144666326406,0.04051446945207349,0.013577691183551037
Chinese fried rice,120.58,13.4,4.05,5.43,1.47,2.31,52.09,34.7,-2,Healthy,0.033587659644770375,0.10970149252912675,0.04503234367187732
Macroni cheese pie,170.63,21.1,5.85,7.48,3.4,0.4,15.99,122.01,1,Healthy,0.0342847096053784,0.16113744075065697,0.04383754322191973
Vegetable chowmein,129.71,15.44,3.07,6.36,1.97,1.86,0.0,28.33,1,Healthy,0.023668182869295597,0.1275906735668659,0.049032457019127035
Chicken chowmein,151.33,13.3,6.33,8.23,1.63,1.64,10.73,26.1,-1,Healthy,0.04182911517847202,0.12255639096822883,0.054384457807081316
Cheese noodle ring,133.67,13.96,6.22,6.12,2.84,1.27,55.67,99.3,-1,Healthy,0.046532505423456785,0.2034383954008998,0.045784394403787065
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,1.83,0.59,3.83,40.59,16,Unhealthy,0.00474110796347824,0.23401534523861697,0.10245514636429325
Penne platter,177.4,20.87,5.04,8.71,4.5,1.09,2.29,67.67,0,Healthy,0.0284103720404261,0.21562050789575368,0.049098083427006216
Pasta hot pot,125.17,11.6,5.84,6.47,5.99,0.8,27.19,55.28,1,Healthy,0.04665654709557676,0.5163793103003121,0.05168970200485987
Chicken lasagne,187.49,13.9,10.45,10.36,2.74,0.11,50.38,119.98,0,Healthy,0.055736305936019324,0.19712230214409193,0.05525628033465648
Fettuccine with spinach sauce,129.21,12.19,3.1,7.83,1.18,0.77,10.29,53.67,2,Healthy,0.023991951087191456,0.09680065626769478,0.060599024842809386
Naan,286.45,51.75,8.05,4.99,5.59,1.91,10.15,88.01,-2,Healthy,0.028102635712940822,0.10801932366941026,0.01742014313137574
Bhatura,793.2,10.73,1.63,82.56,0.69,0.38,0.38,12.12,19,Unhealthy,0.0020549672213791537,0.06430568498934709,0.10408472012089752
Idli,137.54,28.18,4.64,0.33,0.28,2.31,0.0,8.0,-3,Healthy,0.03373564054068827,0.009936124910932004,0.0023993020212127437
Masala dosa,164.58,19.57,3.29,7.84,1.33,2.52,0.0,15.58,0,Healthy,0.019990278283995685,0.06796116504507096,0.04763640782569184
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.3,7.12,4.37,4.04,4.59,116.04,-4,Healthy,0.03215150847816713,0.13306942752335355,0.03135873155678767
Onion tomato uttapam,462.02,11.32,1.91,45.3,0.8,1.26,0.0,5.82,14,Unhealthy,0.004134020172277967,0.07067137808562973,0.09804770356240412
Paneer kaathi roll,285.94,20.1,6.92,19.55,3.29,2.4,30.84,101.66,3,Moderate,0.024200881303685386,0.16368159203165764,0.06837098692009383
Makki ki roti,263.97,24.19,3.49,16.85,0.7,5.19,39.07,14.76,1,Healthy,0.013221199378667193,0.028937577510172067,0.06383301132680293
Washed moong dal (Dhuli moong ki dal),50.0,5.91,2.68,1.68,0.12,1.17,0.0,8.48,-2,Healthy,0.053599999998928005,0.02030456852448315,0.033599999999328
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,0.32,1.53,0.0,10.24,-2,Healthy,0.040932811480089155,0.05479452053856258,0.048597521199468405
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.1,2.79,3.6,1.05,2.72,0.0,14.33,-2,Healthy,0.038088737200845206,0.14788732392283277,0.04914675767850994
Dry washed urad,124.71,15.66,6.85,3.5,0.73,4.06,0.0,27.08,-6,Healthy,0.054927431640967625,0.046615581095362985,0.028065111057428715
Mixed dal,61.93,5.79,2.51,3.1,0.34,1.62,0.0,11.0,-1,Healthy,0.04052963022702197,0.05872193435946081,0.05005651541982793
Whole moong (Moong ki dal),53.7,5.22,2.25,2.56,0.59,2.02,0.0,13.58,-3,Healthy,0.041899441340001876,0.11302681990171899,0.04767225325795769
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,0.67,1.98,0.0,12.2,-3,Healthy,0.04218316373649985,0.12476722530265043,0.04662349676139457
Whole moth (Moth ki dal),55.0,5.74,2.01,2.62,0.66,1.85,0.0,18.98,-2,Healthy,0.03654545454479008,0.11498257837718073,0.047636363635497524
Whole urad (Urad ki dal),53.8,5.05,2.21,2.62,0.57,2.32,0.0,13.07,-3,Healthy,0.04107806691373461,0.11287128710636211,0.048698884757459135
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66,1.7,3.38,1.92,38.13,-3,Healthy,0.03810724328480455,0.19450800913106314,0.0548821875297694
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61,2.36,7.99,0.0,53.87,-5,Healthy,0.04030423656496798,0.16725726433966992,0.04698606767097679
Chickpeas curry (Safed channa curry),163.43,19.98,6.1,6.84,4.78,4.73,0.0,30.61,-3,Healthy,0.037324848558787704,0.2392392392272653,0.041852781006902935
Lobia curry,148.99,17.88,6.06,5.62,2.51,4.57,0.0,36.8,-5,Healthy,0.040673870729306165,0.14038031319125388,0.03772065239252487
Soyabean curry,163.28,6.76,10.43,10.19,2.66,7.34,0.0,65.13,-5,Healthy,0.0638780009795206,0.3934911242021463,0.062408133267623664
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77,2.49,5.83,0.0,47.87,-6,Healthy,0.041397063939042675,0.15201465200537154,0.04014471578626491
Sambar,96.92,10.57,3.35,4.38,3.31,3.52,0.0,30.24,-3,Healthy,0.03456458935168629,0.31315042570358087,0.04519191085384655
Besan kadhi with pakodies,403.35,3.56,1.64,42.59,0.88,0.81,0.94,24.53,15,Unhealthy,0.004065947688101981,0.24719101116651937,0.1055906780708923
Khatta channa,202.57,21.14,6.3,10.56,4.75,5.26,0.0,40.77,-2,Healthy,0.031100360369101545,0.22469252600640052,0.052130127856779736
Sprouted moong dal chat,32.47,6.01,1.35,0.32,1.57,1.35,0.0,16.54,-1,Healthy,0.04157684015886737,0.26123128115453725,0.009855251000620412
Potato cauliflower (Aloo gobhi),106.18,5.99,1.9,8.13,0.44,3.02,0.0,22.87,-1,Healthy,0.017894142022811317,0.07345575958706915,0.07656809191866107
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33,0.54,2.02,0.0,16.45,2,Healthy,0.011232374731050486,0.06192660549748548,0.07432486258205748
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,0.97,3.99,0.0,45.5,-6,Healthy,0.050720100187058234,0.1554487179238063,0.04132748904130671
